"","SEQN","RIAGENDR","RIDAGEYR","RIDRETH1","DMDBORN","DMDCITZN","DMDEDUC3","DMDMARTL","DMDFMSIZ","INDFMINC"
"107",31233,"male",83,"Non-Hispanic White","The US","A citizen of the US",17,"Married",2,6
"114",31240,"female",34,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,11
"115",31241,"male",40,"Other Hispanic","Elsewhere","Not a citizen of the US",17,"Married",3,7
"116",31242,"male",58,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,11
"117",31243,"male",80,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,11
"118",31244,"male",23,"Non-Hispanic White","The US","A citizen of the US",20,"Living with partner",2,6
"122",31248,"male",21,"Mexican American","Mexico","Not a citizen of the US",16,"Living with partner",7,5
"126",31252,"male",35,"Non-Hispanic Black","The US","A citizen of the US",19,"Married",4,10
"127",31253,"male",26,"Non-Hispanic White","The US","A citizen of the US",19,"Never married",1,2
"128",31254,"male",30,"Mexican American","Mexico","Not a citizen of the US",16,"Married",2,1
"129",31255,"female",34,"Mexican American","Mexico","Not a citizen of the US",17,"Married",3,6
"131",31257,"male",70,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,4
"132",31258,"male",20,"Other Hispanic","The US","A citizen of the US",17,"Never married",1,3
"133",31259,"female",35,"Non-Hispanic Black","Elsewhere","Not a citizen of the US",19,"Never married",1,4
"135",31261,"female",49,"Non-Hispanic Black","The US","A citizen of the US",19,"Living with partner",3,9
"136",31262,"male",52,"Mexican American","Mexico","Not a citizen of the US",16,"Married",6,10
"137",31263,"female",78,"Non-Hispanic Black","The US","A citizen of the US",16,"Married",2,5
"140",31266,"male",62,"Non-Hispanic White","The US","A citizen of the US",18,"Widowed",1,5
"142",31268,"female",40,"Non-Hispanic White","The US","A citizen of the US",18,"Married",5,2
"147",31273,"male",62,"Non-Hispanic White","The US","A citizen of the US",17,"Married",2,8
"148",31274,"male",56,"Non-Hispanic White","The US","A citizen of the US",18,"Separeted",1,4
"150",31276,"male",36,"Non-Hispanic Black","The US","A citizen of the US",20,"Married",3,11
"151",31277,"female",61,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,11
"152",31278,"male",65,"Mexican American","Mexico","A citizen of the US",16,"Married",2,9
"153",31279,"female",76,"Non-Hispanic White","The US","A citizen of the US",17,"Married",2,4
"154",31280,"female",60,"Non-Hispanic White","The US","A citizen of the US",18,"Widowed",1,5
"158",31284,"male",80,"Non-Hispanic White","The US","A citizen of the US",20,"Married",3,11
"159",31285,"female",57,"Non-Hispanic White","The US","A citizen of the US",20,"Divorced",1,7
"160",31286,"male",27,"Mexican American","Mexico","Not a citizen of the US",19,"Married",4,4
"164",31290,"male",41,"Mexican American","Mexico","Not a citizen of the US",16,"Married",5,4
"165",31291,"male",52,"Non-Hispanic Black","The US","A citizen of the US",19,"Married",2,9
"168",31294,"female",73,"Non-Hispanic White","The US","A citizen of the US",19,"Widowed",2,7
"171",31297,"female",85,"Non-Hispanic White","Elsewhere","Not a citizen of the US",18,"Widowed",2,11
"172",31298,"female",33,"Mexican American","Mexico","A citizen of the US",19,"Living with partner",5,9
"175",31301,"male",66,"Mexican American","The US","A citizen of the US",17,"Separeted",2,6
"176",31302,"female",24,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,6
"177",31303,"female",33,"Other Hispanic","Elsewhere","Not a citizen of the US",16,"Married",5,7
"181",31307,"female",77,"Non-Hispanic White","The US","A citizen of the US",18,"Married",2,9
"182",31308,"male",59,"Non-Hispanic Black","The US","A citizen of the US",19,"Widowed",2,8
"183",31309,"male",60,"Mexican American","Mexico","Not a citizen of the US",16,"Married",3,3
"185",31311,"male",71,"Non-Hispanic White","The US","A citizen of the US",18,"Married",2,5
"188",31314,"male",28,"Mexican American","The US","A citizen of the US",19,"Living with partner",2,11
"191",31317,"male",24,"Non-Hispanic Black","The US","A citizen of the US",19,"Never married",1,1
"195",31321,"female",25,"Mexican American","Mexico","Not a citizen of the US",19,"Married",2,6
"198",31324,"female",47,"Non-Hispanic Black","The US","A citizen of the US",19,"Married",2,8
"199",31325,"male",27,"Non-Hispanic White","The US","A citizen of the US",17,"Living with partner",3,6
"206",31332,"male",68,"Non-Hispanic Black","The US","A citizen of the US",17,"Married",2,6
"207",31333,"female",29,"Mexican American","The US","A citizen of the US",19,"Never married",2,7
"208",31334,"female",55,"Non-Hispanic Black","The US","A citizen of the US",20,"Never married",1,1
"210",31336,"female",23,"Non-Hispanic White","The US","A citizen of the US",18,"Living with partner",1,3
"211",31337,"male",54,"Non-Hispanic White","Elsewhere","Not a citizen of the US",19,"Married",2,11
"213",31339,"female",85,"Other Race - Including Multi-Racial","Elsewhere","A citizen of the US",17,"Widowed",3,10
"217",31343,"female",61,"Non-Hispanic White","The US","A citizen of the US",19,"Widowed",3,11
"218",31344,"female",55,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,11
"219",31345,"female",67,"Non-Hispanic White","The US","A citizen of the US",17,"Married",2,6
"222",31348,"male",62,"Non-Hispanic Black","The US","A citizen of the US",17,"Married",2,11
"224",31350,"female",27,"Non-Hispanic White","The US","A citizen of the US",18,"Living with partner",4,7
"227",31353,"male",53,"Non-Hispanic White","The US","A citizen of the US",18,"Married",7,8
"231",31357,"female",85,"Non-Hispanic White","The US","A citizen of the US",17,"Widowed",5,11
"232",31358,"female",62,"Non-Hispanic Black","The US","A citizen of the US",19,"Married",3,3
"235",31361,"female",30,"Non-Hispanic White","The US","A citizen of the US",19,"Married",5,6
"237",31363,"male",28,"Non-Hispanic Black","The US","A citizen of the US",17,"Never married",3,6
"241",31367,"female",85,"Non-Hispanic White","Elsewhere","Not a citizen of the US",18,"Widowed",2,6
"246",31372,"female",48,"Non-Hispanic Black","The US","A citizen of the US",19,"Living with partner",1,7
"253",31379,"female",79,"Non-Hispanic Black","The US","A citizen of the US",17,"Widowed",1,2
"254",31380,"male",69,"Non-Hispanic Black","The US","A citizen of the US",17,"Married",4,7
"255",31381,"female",34,"Other Race - Including Multi-Racial","Elsewhere","Not a citizen of the US",17,"Married",3,7
"256",31382,"male",61,"Non-Hispanic Black","The US","A citizen of the US",19,"Living with partner",1,11
"257",31383,"female",27,"Non-Hispanic White","The US","A citizen of the US",18,"Married",3,10
"260",31386,"female",45,"Non-Hispanic White","The US","A citizen of the US",17,"Married",3,6
"261",31387,"female",40,"Non-Hispanic Black","The US","A citizen of the US",18,"Living with partner",5,3
"262",31388,"female",60,"Non-Hispanic White","Elsewhere","A citizen of the US",18,"Never married",1,5
"265",31391,"male",49,"Non-Hispanic Black","The US","A citizen of the US",17,"Never married",1,3
"266",31392,"male",61,"Mexican American","The US","A citizen of the US",18,"Married",4,7
"267",31393,"male",70,"Non-Hispanic Black","The US","A citizen of the US",16,"Never married",2,2
"270",31396,"female",55,"Mexican American","The US","A citizen of the US",19,"Divorced",2,8
"273",31399,"male",59,"Non-Hispanic White","The US","A citizen of the US",19,"Divorced",1,7
"277",31403,"female",21,"Non-Hispanic Black","The US","A citizen of the US",19,"Living with partner",4,8
"280",31406,"female",20,"Other Hispanic","The US","A citizen of the US",17,"Never married",2,1
"281",31407,"female",64,"Non-Hispanic Black","The US","A citizen of the US",20,"Married",4,11
"284",31410,"male",42,"Non-Hispanic White","The US","A citizen of the US",20,"Married",5,11
"287",31413,"male",34,"Other Hispanic","Elsewhere","Not a citizen of the US",18,"Married",4,7
"289",31415,"female",23,"Mexican American","Mexico","Not a citizen of the US",16,"Married",6,5
"294",31420,"male",29,"Mexican American","Mexico","Not a citizen of the US",16,"Never married",3,5
"299",31425,"female",63,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,9
"303",31429,"male",40,"Non-Hispanic Black","The US","A citizen of the US",17,"Married",6,10
"306",31432,"female",45,"Non-Hispanic White","The US","A citizen of the US",20,"Married",5,11
"308",31434,"male",57,"Non-Hispanic White","The US","A citizen of the US",16,"Married",3,4
"309",31435,"male",38,"Non-Hispanic Black","Elsewhere","A citizen of the US",18,"Married",4,7
"311",31437,"female",59,"Other Race - Including Multi-Racial","The US","A citizen of the US",19,"Married",3,5
"313",31439,"female",31,"Non-Hispanic White","The US","A citizen of the US",20,"Married",3,8
"314",31440,"male",30,"Mexican American","The US","A citizen of the US",19,"Never married",1,8
"315",31441,"male",62,"Non-Hispanic Black","The US","A citizen of the US",19,"Divorced",2,9
"316",31442,"male",67,"Mexican American","The US","A citizen of the US",19,"Married",4,7
"318",31444,"male",38,"Non-Hispanic White","The US","A citizen of the US",16,"Married",4,11
"321",31447,"male",85,"Non-Hispanic White","The US","A citizen of the US",18,"Widowed",1,2
"323",31449,"female",37,"Non-Hispanic White","The US","A citizen of the US",19,"Never married",1,9
"326",31452,"female",54,"Non-Hispanic Black","The US","A citizen of the US",20,"Living with partner",2,7
"328",31454,"male",75,"Other Hispanic","Elsewhere","Not a citizen of the US",16,"Married",3,2
"329",31455,"male",33,"Non-Hispanic Black","The US","A citizen of the US",19,"Married",4,11
"331",31457,"female",61,"Mexican American","The US","A citizen of the US",18,"Widowed",1,8
"334",31460,"male",37,"Non-Hispanic Black","The US","A citizen of the US",19,"Divorced",7,7
"337",31463,"male",48,"Non-Hispanic Black","The US","A citizen of the US",18,"Divorced",2,8
"338",31464,"male",64,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,11
"342",31468,"male",55,"Non-Hispanic White","The US","A citizen of the US",17,"Divorced",3,5
"343",31469,"female",74,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,11
"344",31470,"female",26,"Mexican American","The US","A citizen of the US",18,"Married",6,4
"345",31471,"female",49,"Non-Hispanic Black","The US","A citizen of the US",17,"Married",2,7
"346",31472,"male",76,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,4
"351",31477,"male",35,"Mexican American","Mexico","Not a citizen of the US",16,"Married",2,5
"357",31483,"male",50,"Non-Hispanic White","Elsewhere","A citizen of the US",19,"Living with partner",2,11
"360",31486,"male",50,"Non-Hispanic White","The US","A citizen of the US",17,"Married",2,8
"361",31487,"female",37,"Non-Hispanic Black","Elsewhere","Not a citizen of the US",19,"Divorced",1,4
"362",31488,"male",38,"Non-Hispanic White","The US","A citizen of the US",19,"Married",4,6
"365",31491,"female",46,"Non-Hispanic Black","The US","A citizen of the US",19,"Never married",1,9
"371",31497,"female",50,"Non-Hispanic White","The US","A citizen of the US",18,"Divorced",1,4
"372",31498,"female",63,"Mexican American","Mexico","Not a citizen of the US",16,"Married",1,3
"375",31501,"male",34,"Non-Hispanic White","The US","A citizen of the US",19,"Living with partner",4,4
"376",31502,"female",38,"Non-Hispanic White","The US","A citizen of the US",18,"Married",5,8
"377",31503,"male",47,"Non-Hispanic White","The US","A citizen of the US",19,"Married",3,5
"378",31504,"male",46,"Non-Hispanic White","The US","A citizen of the US",20,"Married",3,11
"380",31506,"male",73,"Non-Hispanic White","The US","A citizen of the US",16,"Married",2,4
"382",31508,"male",73,"Non-Hispanic White","The US","A citizen of the US",17,"Married",6,7
"383",31509,"male",35,"Non-Hispanic White","The US","A citizen of the US",19,"Separeted",2,3
"384",31510,"male",32,"Mexican American","Mexico","Not a citizen of the US",17,"Married",5,6
"386",31512,"male",51,"Mexican American","Mexico","Not a citizen of the US",16,"Married",4,3
"387",31513,"male",65,"Non-Hispanic Black","The US","A citizen of the US",18,"Married",2,6
"391",31517,"female",51,"Non-Hispanic White","The US","A citizen of the US",18,"Divorced",4,5
"392",31518,"female",40,"Other Race - Including Multi-Racial","The US","A citizen of the US",19,"Living with partner",2,6
"393",31519,"female",57,"Non-Hispanic White","The US","A citizen of the US",18,"Divorced",1,11
"394",31520,"male",53,"Non-Hispanic Black","The US","A citizen of the US",17,"Divorced",1,3
"396",31522,"male",28,"Non-Hispanic White","The US","A citizen of the US",18,"Living with partner",1,10
"399",31525,"female",33,"Non-Hispanic White","The US","A citizen of the US",20,"Married",4,8
"401",31527,"male",59,"Non-Hispanic White","Elsewhere","Not a citizen of the US",19,"Widowed",1,5
"402",31528,"male",20,"Mexican American","Mexico","Not a citizen of the US",18,"Never married",7,8
"403",31529,"female",42,"Non-Hispanic White","The US","A citizen of the US",18,"Never married",3,10
"404",31530,"female",28,"Non-Hispanic Black","The US","A citizen of the US",19,"Never married",3,11
"407",31533,"female",20,"Mexican American","The US","A citizen of the US",19,"Never married",2,5
"408",31534,"male",23,"Non-Hispanic Black","The US","A citizen of the US",17,"Separeted",5,3
"409",31535,"female",21,"Non-Hispanic Black","The US","A citizen of the US",18,"Never married",1,1
"416",31542,"male",34,"Non-Hispanic White","The US","A citizen of the US",19,"Widowed",2,3
"419",31545,"female",33,"Mexican American","Mexico","Not a citizen of the US",16,"Married",3,5
"420",31546,"female",80,"Non-Hispanic White","The US","A citizen of the US",17,"Divorced",2,2
"421",31547,"male",27,"Mexican American","Mexico","Not a citizen of the US",16,"Married",1,1
"422",31548,"male",69,"Mexican American","The US","A citizen of the US",16,"Separeted",1,4
"424",31550,"male",23,"Non-Hispanic White","The US","A citizen of the US",19,"Living with partner",4,7
"425",31551,"female",53,"Non-Hispanic White","Elsewhere","A citizen of the US",19,"Widowed",1,3
"427",31553,"male",48,"Mexican American","Mexico","Not a citizen of the US",18,"Married",4,7
"429",31555,"male",43,"Non-Hispanic White","The US","A citizen of the US",18,"Separeted",1,8
"431",31557,"male",36,"Mexican American","The US","A citizen of the US",17,"Married",5,9
"432",31558,"male",85,"Non-Hispanic White","The US","A citizen of the US",17,"Never married",1,4
"433",31559,"female",66,"Non-Hispanic White","The US","A citizen of the US",18,"Married",3,8
"437",31563,"female",61,"Non-Hispanic White","The US","A citizen of the US",18,"Married",2,8
"441",31567,"male",55,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,11
"443",31569,"female",62,"Non-Hispanic White","The US","A citizen of the US",18,"Married",2,11
"444",31570,"male",52,"Non-Hispanic White","The US","A citizen of the US",19,"Married",5,11
"447",31573,"female",65,"Non-Hispanic Black","The US","A citizen of the US",18,"Married",2,7
"450",31576,"male",51,"Non-Hispanic White","The US","A citizen of the US",17,"Married",2,7
"451",31577,"female",52,"Non-Hispanic White","The US","A citizen of the US",19,"Divorced",1,7
"456",31582,"male",37,"Non-Hispanic Black","The US","A citizen of the US",19,"Married",5,11
"459",31585,"female",40,"Mexican American","Mexico","Not a citizen of the US",19,"Married",6,6
"461",31587,"male",70,"Mexican American","Mexico","Not a citizen of the US",16,"Married",3,4
"464",31590,"male",49,"Mexican American","Mexico","Not a citizen of the US",17,"Married",4,4
"465",31591,"male",51,"Non-Hispanic Black","The US","A citizen of the US",20,"Married",4,11
"466",31592,"female",62,"Mexican American","Mexico","Not a citizen of the US",16,"Married",6,6
"467",31593,"female",58,"Mexican American","The US","A citizen of the US",18,"Married",4,11
"473",31599,"male",42,"Non-Hispanic White","The US","A citizen of the US",20,"Married",6,11
"475",31601,"female",82,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,7
"477",31603,"male",79,"Non-Hispanic White","The US","A citizen of the US",17,"Never married",1,2
"480",31606,"female",78,"Non-Hispanic White","The US","A citizen of the US",18,"Married",2,4
"482",31608,"male",40,"Non-Hispanic Black","The US","A citizen of the US",20,"Married",4,3
"483",31609,"male",44,"Mexican American","Mexico","A citizen of the US",17,"Married",7,8
"484",31610,"male",85,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,5
"489",31615,"female",47,"Mexican American","The US","A citizen of the US",19,"Divorced",6,8
"493",31619,"female",31,"Non-Hispanic White","The US","A citizen of the US",19,"Divorced",5,11
"494",31620,"female",53,"Other Hispanic","Elsewhere","A citizen of the US",19,"Divorced",3,5
"496",31622,"female",71,"Non-Hispanic Black","The US","A citizen of the US",18,"Married",2,7
"499",31625,"male",63,"Mexican American","Mexico","A citizen of the US",16,"Married",2,5
"504",31630,"female",33,"Other Race - Including Multi-Racial","The US","A citizen of the US",20,"Married",3,11
"507",31633,"female",85,"Non-Hispanic White","The US","A citizen of the US",17,"Widowed",1,5
"509",31635,"female",27,"Mexican American","Mexico","Not a citizen of the US",16,"Married",5,4
"510",31636,"female",72,"Non-Hispanic Black","The US","A citizen of the US",16,"Widowed",2,6
"512",31638,"female",22,"Non-Hispanic White","The US","A citizen of the US",20,"Never married",5,11
"513",31639,"female",22,"Mexican American","The US","A citizen of the US",17,"Never married",6,5
"514",31640,"female",44,"Mexican American","Mexico","Not a citizen of the US",17,"Living with partner",4,3
"523",31649,"male",47,"Non-Hispanic White","The US","A citizen of the US",20,"Married",4,7
"526",31652,"female",23,"Non-Hispanic White","The US","A citizen of the US",19,"Married",4,11
"531",31657,"male",73,"Non-Hispanic Black","Elsewhere","A citizen of the US",16,"Married",2,4
"532",31658,"female",46,"Non-Hispanic Black","The US","A citizen of the US",19,"Living with partner",1,7
"535",31661,"male",48,"Non-Hispanic Black","Elsewhere","Not a citizen of the US",20,"Living with partner",3,7
"536",31662,"female",44,"Mexican American","Mexico","A citizen of the US",18,"Separeted",4,4
"537",31663,"male",76,"Non-Hispanic White","The US","A citizen of the US",18,"Married",2,6
"540",31666,"male",39,"Non-Hispanic Black","The US","A citizen of the US",18,"Never married",1,1
"542",31668,"female",85,"Non-Hispanic White","The US","A citizen of the US",19,"Widowed",1,4
"543",31669,"female",25,"Mexican American","Mexico","Not a citizen of the US",18,"Married",5,6
"548",31674,"female",28,"Non-Hispanic White","The US","A citizen of the US",19,"Married",4,10
"553",31679,"male",36,"Non-Hispanic White","The US","A citizen of the US",19,"Married",5,6
"554",31680,"female",24,"Mexican American","Mexico","Not a citizen of the US",17,"Living with partner",5,3
"555",31681,"male",22,"Non-Hispanic Black","The US","A citizen of the US",18,"Never married",1,7
"564",31690,"female",38,"Non-Hispanic White","The US","A citizen of the US",19,"Married",5,11
"565",31691,"male",52,"Non-Hispanic Black","The US","A citizen of the US",20,"Divorced",2,8
"573",31699,"male",31,"Non-Hispanic Black","The US","A citizen of the US",19,"Married",3,7
"574",31700,"female",36,"Mexican American","Mexico","Not a citizen of the US",18,"Living with partner",5,5
"576",31702,"male",22,"Other Race - Including Multi-Racial","The US","A citizen of the US",19,"Never married",1,3
"577",31703,"male",44,"Non-Hispanic Black","Elsewhere","A citizen of the US",20,"Married",4,7
"580",31706,"female",45,"Non-Hispanic White","The US","A citizen of the US",20,"Married",5,11
"581",31707,"female",75,"Non-Hispanic White","The US","A citizen of the US",18,"Married",2,7
"582",31708,"female",29,"Mexican American","The US","A citizen of the US",17,"Married",6,4
"583",31709,"male",39,"Non-Hispanic White","The US","A citizen of the US",18,"Married",4,10
"584",31710,"male",42,"Non-Hispanic White","The US","A citizen of the US",19,"Married",3,8
"585",31711,"female",23,"Non-Hispanic Black","The US","A citizen of the US",18,"Married",4,5
"586",31712,"female",31,"Non-Hispanic Black","The US","A citizen of the US",17,"Never married",7,8
"588",31714,"male",21,"Mexican American","Mexico","Not a citizen of the US",17,"Living with partner",4,5
"591",31717,"female",45,"Other Hispanic","Elsewhere","Not a citizen of the US",16,"Married",6,3
"594",31720,"female",73,"Non-Hispanic Black","The US","A citizen of the US",18,"Never married",4,1
"595",31721,"male",62,"Non-Hispanic Black","The US","A citizen of the US",19,"Widowed",1,6
"598",31724,"female",37,"Other Race - Including Multi-Racial","The US","A citizen of the US",20,"Married",3,11
"599",31725,"female",48,"Mexican American","Mexico","Not a citizen of the US",18,"Married",3,4
"603",31729,"male",80,"Non-Hispanic White","The US","A citizen of the US",18,"Widowed",5,11
"606",31732,"male",53,"Non-Hispanic Black","Elsewhere","A citizen of the US",18,"Married",2,11
"607",31733,"male",79,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,7
"608",31734,"male",64,"Mexican American","The US","A citizen of the US",19,"Divorced",2,11
"610",31736,"male",79,"Non-Hispanic Black","The US","A citizen of the US",16,"Widowed",1,5
"613",31739,"male",27,"Non-Hispanic White","The US","A citizen of the US",19,"Married",4,6
"614",31740,"female",28,"Other Race - Including Multi-Racial","Elsewhere","Not a citizen of the US",20,"Married",2,11
"615",31741,"male",75,"Non-Hispanic Black","The US","A citizen of the US",19,"Married",5,7
"616",31742,"female",25,"Non-Hispanic White","The US","A citizen of the US",19,"Never married",2,5
"618",31744,"female",65,"Non-Hispanic White","The US","A citizen of the US",17,"Married",2,8
"620",31746,"female",77,"Non-Hispanic White","The US","A citizen of the US",16,"Widowed",4,5
"621",31747,"male",37,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,10
"622",31748,"male",50,"Non-Hispanic White","The US","A citizen of the US",19,"Married",3,2
"625",31751,"female",25,"Non-Hispanic White","The US","A citizen of the US",18,"Never married",3,3
"626",31752,"male",51,"Mexican American","Mexico","Not a citizen of the US",17,"Married",2,7
"629",31755,"male",47,"Other Hispanic","Elsewhere","Not a citizen of the US",16,"Married",2,4
"631",31757,"male",27,"Non-Hispanic White","The US","A citizen of the US",18,"Married",3,10
"636",31762,"female",70,"Mexican American","Mexico","Not a citizen of the US",16,"Widowed",5,3
"638",31764,"female",51,"Mexican American","The US","A citizen of the US",18,"Divorced",1,5
"639",31765,"male",70,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,11
"641",31767,"female",45,"Non-Hispanic White","The US","A citizen of the US",18,"Married",2,10
"645",31771,"male",32,"Mexican American","Mexico","Not a citizen of the US",17,"Married",6,6
"651",31777,"male",61,"Mexican American","Mexico","Not a citizen of the US",16,"Separeted",1,2
"653",31779,"male",55,"Mexican American","Mexico","Not a citizen of the US",16,"Living with partner",6,1
"655",31781,"female",58,"Non-Hispanic Black","The US","A citizen of the US",19,"Married",4,6
"659",31785,"female",83,"Non-Hispanic White","The US","A citizen of the US",19,"Widowed",1,9
"660",31786,"male",27,"Non-Hispanic White","The US","A citizen of the US",19,"Never married",1,7
"661",31787,"male",58,"Non-Hispanic White","The US","A citizen of the US",19,"Never married",1,3
"663",31789,"male",53,"Mexican American","The US","A citizen of the US",18,"Divorced",1,11
"667",31793,"female",27,"Mexican American","Mexico","Not a citizen of the US",16,"Never married",6,6
"669",31795,"female",60,"Mexican American","Mexico","A citizen of the US",16,"Married",3,6
"670",31796,"male",60,"Non-Hispanic Black","The US","A citizen of the US",17,"Married",5,11
"673",31799,"female",47,"Non-Hispanic White","The US","A citizen of the US",20,"Married",5,11
"674",31800,"female",60,"Non-Hispanic White","The US","A citizen of the US",18,"Divorced",1,10
"676",31802,"female",60,"Non-Hispanic White","The US","A citizen of the US",18,"Married",3,10
"678",31804,"female",52,"Non-Hispanic White","The US","A citizen of the US",19,"Married",3,11
"681",31807,"female",57,"Other Hispanic","The US","A citizen of the US",20,"Divorced",1,11
"687",31813,"female",47,"Mexican American","The US","A citizen of the US",19,"Divorced",2,2
"688",31814,"male",58,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,3
"690",31816,"female",26,"Non-Hispanic White","The US","A citizen of the US",19,"Married",4,8
"694",31820,"male",58,"Mexican American","Mexico","A citizen of the US",17,"Never married",3,7
"695",31821,"female",25,"Non-Hispanic White","The US","A citizen of the US",19,"Married",3,8
"696",31822,"female",28,"Non-Hispanic White","The US","A citizen of the US",19,"Married",3,11
"698",31824,"female",22,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,3
"701",31827,"female",46,"Non-Hispanic Black","The US","A citizen of the US",17,"Never married",1,3
"704",31830,"female",62,"Mexican American","Mexico","A citizen of the US",18,"Married",2,3
"705",31831,"male",46,"Non-Hispanic White","The US","A citizen of the US",18,"Married",4,11
"707",31833,"male",41,"Mexican American","Mexico","Not a citizen of the US",16,"Married",5,6
"711",31837,"female",24,"Mexican American","Mexico","Not a citizen of the US",17,"Married",4,4
